GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
URLValidatorInCorrect,finalprojectB,DomainValidator.ArrayType,89,0,0,0,9,0,2,0,2,0
URLValidatorInCorrect,finalprojectB,InetAddressValidator,245,0,64,0,64,0,38,0,6,0
URLValidatorInCorrect,finalprojectB,RegexValidator,249,9,41,1,53,3,28,1,7,1
URLValidatorInCorrect,finalprojectB,DomainValidator.new Object() {...},61,0,0,0,1,0,1,0,1,0
URLValidatorInCorrect,finalprojectB,ResultPair,0,13,0,2,0,4,0,2,0,1
URLValidatorInCorrect,finalprojectB,DomainValidator.IDNBUGHOLDER,10,0,0,0,3,0,2,0,2,0
URLValidatorInCorrect,finalprojectB,DomainValidator,6563,5,85,0,121,2,64,2,16,2
URLValidatorInCorrect,finalprojectB,UrlValidator,126,294,38,48,44,79,28,33,3,15
